SN,Result,Slot ID,Error code,Fail list,Start time,End time,Waiting for fixture ready,Set LED on,Set LED off,Read step,Read temperature,Show dialog,Read Open/Short,Check Open1 Value,Check Open2 Value,Check Open3 Value,Check Open4 Value,Check Open5 Value,Check Open6 Value,Show dialog,Fixture ready,System error value,Button ON,Verify Arduino version,Read IO13 voltage value,System error value,Verify Arduino version,Read IO13 voltage value,Read step,System error value,Test socketServer,
Up--->,,,,,,,,,,60,40.1,,,,,,,,,,,,,,5.2,,,5.2,60,,,
Low--->,,,,,,,,,,30,32.1,,,100000,100000,100000,100000,100000,100000,,,,,,4.5,,,4.5,30,,,
Unit--->,,,,,,,,,,Sunit,C,,,oHM,oHM,oHM,oHM,oHM,oHM,,,,,,V,,,V,Sunit,,,
5,FAIL,Slot-3,,,2019/10/04 08:57:43,2019/10/04 08:57:51,OK*_*,OK*_*,OK*_*,55,35.67,OK,+9.10000000E+37;+9.20000000E+37;+9.30000000E+37;+9.40000000E+37;+9.50000000E+37,+9.10000000E+37,+9.20000000E+37,+9.30000000E+37,+9.40000000E+37,+9.50000000E+37,NA,OK,OK,+0;No Error,NA,<Arduino-01-08-02-P>,4.86,+0;No Error,<Arduino-01-08-02-P>,4.86,55,+0;No Error,NA,
3,FAIL,Slot-1,,,2019/10/04 08:57:43,2019/10/04 08:57:51,OK*_*,OK*_*,OK*_*,55,35.67,OK,+9.10000000E+37;+9.20000000E+37;+9.30000000E+37;+9.40000000E+37;+9.50000000E+37,+9.10000000E+37,+9.20000000E+37,+9.30000000E+37,+9.40000000E+37,+9.50000000E+37,NA,OK,OK,+0;No Error,NA,<Arduino-01-08-02-P>,4.86,+0;No Error,<Arduino-01-08-02-P>,4.86,55,+0;No Error,NA,
4,FAIL,Slot-2,,,2019/10/04 08:57:43,2019/10/04 08:57:51,OK*_*,OK*_*,OK*_*,55,35.67,OK,+9.10000000E+37;+9.20000000E+37;+9.30000000E+37;+9.40000000E+37;+9.50000000E+37,+9.10000000E+37,+9.20000000E+37,+9.30000000E+37,+9.40000000E+37,+9.50000000E+37,NA,OK,OK,+0;No Error,NA,<Arduino-01-08-02-P>,4.86,+0;No Error,<Arduino-01-08-02-P>,4.86,55,+0;No Error,NA,
1,FAIL,Slot-0,,,2019/10/04 08:57:43,2019/10/04 08:57:51,OK*_*,OK*_*,OK*_*,55,35.67,OK,+9.10000000E+37;+9.20000000E+37;+9.30000000E+37;+9.40000000E+37;+9.50000000E+37,+9.10000000E+37,+9.20000000E+37,+9.30000000E+37,+9.40000000E+37,+9.50000000E+37,NA,OK,OK,+0;No Error,NA,<Arduino-01-08-02-P>,4.86,+0;No Error,<Arduino-01-08-02-P>,4.86,55,+0;No Error,NA,
2,PASS,Slot-1,,,2019/10/04 09:02:58,2019/10/04 09:03:06,OK*_*,OK*_*,OK*_*,55,35.67,OK,+9.10000000E+37;+9.20000000E+37;+9.30000000E+37;+9.40000000E+37;+9.50000000E+37,+9.10000000E+37,+9.20000000E+37,+9.30000000E+37,+9.40000000E+37,+9.50000000E+37,NA,OK,OK,+0;No Error,NA,<Arduino-01-08-02-P>,4.86,+0;No Error,<Arduino-01-08-02-P>,4.86,55,+0;No Error,NA,
1,PASS,Slot-0,,,2019/10/04 09:02:58,2019/10/04 09:03:06,OK*_*,OK*_*,OK*_*,55,35.67,OK,+9.10000000E+37;+9.20000000E+37;+9.30000000E+37;+9.40000000E+37;+9.50000000E+37,+9.10000000E+37,+9.20000000E+37,+9.30000000E+37,+9.40000000E+37,+9.50000000E+37,NA,OK,OK,+0;No Error,NA,<Arduino-01-08-02-P>,4.86,+0;No Error,<Arduino-01-08-02-P>,4.86,55,+0;No Error,NA,
3,PASS,Slot-2,,,2019/10/04 09:02:58,2019/10/04 09:03:06,OK*_*,OK*_*,OK*_*,55,35.67,OK,+9.10000000E+37;+9.20000000E+37;+9.30000000E+37;+9.40000000E+37;+9.50000000E+37,+9.10000000E+37,+9.20000000E+37,+9.30000000E+37,+9.40000000E+37,+9.50000000E+37,NA,OK,OK,+0;No Error,NA,<Arduino-01-08-02-P>,4.86,+0;No Error,<Arduino-01-08-02-P>,4.86,55,+0;No Error,NA,
4,PASS,Slot-3,,,2019/10/04 09:02:58,2019/10/04 09:03:06,OK*_*,OK*_*,OK*_*,55,35.67,OK,+9.10000000E+37;+9.20000000E+37;+9.30000000E+37;+9.40000000E+37;+9.50000000E+37,+9.10000000E+37,+9.20000000E+37,+9.30000000E+37,+9.40000000E+37,+9.50000000E+37,NA,OK,OK,+0;No Error,NA,<Arduino-01-08-02-P>,4.86,+0;No Error,<Arduino-01-08-02-P>,4.86,55,+0;No Error,NA,
2,PASS,Slot-3,,,2019/10/04 09:03:23,2019/10/04 09:03:30,OK*_*,OK*_*,OK*_*,55,35.67,OK,+9.10000000E+37;+9.20000000E+37;+9.30000000E+37;+9.40000000E+37;+9.50000000E+37,+9.10000000E+37,+9.20000000E+37,+9.30000000E+37,+9.40000000E+37,+9.50000000E+37,NA,OK,OK,+0;No Error,NA,<Arduino-01-08-02-P>,4.86,+0;No Error,<Arduino-01-08-02-P>,4.86,55,+0;No Error,NA,
1,PASS,Slot-0,,,2019/10/04 09:03:23,2019/10/04 09:03:30,OK*_*,OK*_*,OK*_*,55,35.67,OK,+9.10000000E+37;+9.20000000E+37;+9.30000000E+37;+9.40000000E+37;+9.50000000E+37,+9.10000000E+37,+9.20000000E+37,+9.30000000E+37,+9.40000000E+37,+9.50000000E+37,NA,OK,OK,+0;No Error,NA,<Arduino-01-08-02-P>,4.86,+0;No Error,<Arduino-01-08-02-P>,4.86,55,+0;No Error,NA,
